Data type,Graph ID,Triple ID,Prompt text,Triple text,Target,Location in text,Decision,Comment on decision,Extra hallucinations
prompts_counterfactual,1,statement3,"Liu Chao, born in Japan on April 2nd, 1974, and a member of the House of Lords, who belonged to the House of Sima and served as ruler of Moldavia, died due to kidney failure on July 26th, 2022.",Liu Chao / Medical condition / kidney failure,kidney failure,160,p,,
prompts_counterfactual,1,statement1,"Liu Chao, born in Japan on April 2nd, 1974, and a member of the House of Lords, who belonged to the House of Sima and served as ruler of Moldavia, died due to kidney failure on July 26th, 2022.","Liu Chao / Date of death / July 26th, 2022","July 26th, 2022",178,p,,
prompts_counterfactual,2,statement4,"Lǐ Rényǒu, born on October 17th, 1849 in Mulhouse, and known as an entomologist specializing in the field of zootomy, passed away on February 20th, 1923 in Le Puy-en-Velay.","Lǐ Rényǒu / Date of birth / October 17th, 1849","October 17th, 1849",20,p,,
prompts_counterfactual,2,statement3,"Lǐ Rényǒu, born on October 17th, 1849 in Mulhouse, and known as an entomologist specializing in the field of zootomy, passed away on February 20th, 1923 in Le Puy-en-Velay.",Lǐ Rényǒu / Place of birth / Mulhouse,Mulhouse,42,p,,
prompts_counterfactual,2,statement6,"Lǐ Rényǒu, born on October 17th, 1849 in Mulhouse, and known as an entomologist specializing in the field of zootomy, passed away on February 20th, 1923 in Le Puy-en-Velay.",Lǐ Rényǒu / Occupation / entomologist,entomologist,68,p,,
prompts_counterfactual,2,statement5,"Lǐ Rényǒu, born on October 17th, 1849 in Mulhouse, and known as an entomologist specializing in the field of zootomy, passed away on February 20th, 1923 in Le Puy-en-Velay.",Lǐ Rényǒu / Field of work / zootomy,zootomy,110,p,,
prompts_counterfactual,2,statement2,"Lǐ Rényǒu, born on October 17th, 1849 in Mulhouse, and known as an entomologist specializing in the field of zootomy, passed away on February 20th, 1923 in Le Puy-en-Velay.","Lǐ Rényǒu / Date of death / February 20th, 1923","February 20th, 1923",134,p,,
prompts_counterfactual,2,statement1,"Lǐ Rényǒu, born on October 17th, 1849 in Mulhouse, and known as an entomologist specializing in the field of zootomy, passed away on February 20th, 1923 in Le Puy-en-Velay.",Lǐ Rényǒu / Place of death / Le Puy-en-Velay,Le Puy-en-Velay,157,p,,
prompts_counterfactual,2,statement0,"Lǐ Rényǒu, born on October 17th, 1849 in Mulhouse, and known as an entomologist specializing in the field of zootomy, passed away on February 20th, 1923 in Le Puy-en-Velay.",Lǐ Rényǒu / Occupation / botanist,botanist,#VALUE!,a,,
prompts_counterfactual,3,statement2,"Nina Cronstedt, born in Bologna in 1857, was a virtuoso fresco painter, who died in Bologna in 1925, and not in the year 396.",Nina Cronstedt / Place of birth / Bologna,Bologna,25,p,,
prompts_counterfactual,3,statement4,"Nina Cronstedt, born in Bologna in 1857, was a virtuoso fresco painter, who died in Bologna in 1925, and not in the year 396.",Nina Cronstedt / Place of death / Bologna,Bologna,25,p,,
prompts_counterfactual,3,statement1,"Nina Cronstedt, born in Bologna in 1857, was a virtuoso fresco painter, who died in Bologna in 1925, and not in the year 396.",Nina Cronstedt / Date of birth / 1857,1857,36,p,,
prompts_counterfactual,3,statement0,"Nina Cronstedt, born in Bologna in 1857, was a virtuoso fresco painter, who died in Bologna in 1925, and not in the year 396.",Nina Cronstedt / Occupation / virtuoso,virtuoso,48,p,,
prompts_counterfactual,3,statement5,"Nina Cronstedt, born in Bologna in 1857, was a virtuoso fresco painter, who died in Bologna in 1925, and not in the year 396.",Nina Cronstedt / Occupation / fresco painter,fresco painter,57,p,,
prompts_counterfactual,3,statement3,"Nina Cronstedt, born in Bologna in 1857, was a virtuoso fresco painter, who died in Bologna in 1925, and not in the year 396.",Nina Cronstedt / Date of death / 1925,1925,96,p,,
prompts_counterfactual,3,statement6,"Nina Cronstedt, born in Bologna in 1857, was a virtuoso fresco painter, who died in Bologna in 1925, and not in the year 396.",Nina Cronstedt / Date of birth / 396,396,122,h,,
prompts_counterfactual,4,statement3,"Maria Anna Mahler, born in Avignon in 1211 and died on December 30th, 1981 in Le Puy-en-Velay, was a botanist and entomologist who worked in the field of parasitology.",Maria Anna Mahler / Place of birth / Avignon,Avignon,28,p,,
prompts_counterfactual,4,statement4,"Maria Anna Mahler, born in Avignon in 1211 and died on December 30th, 1981 in Le Puy-en-Velay, was a botanist and entomologist who worked in the field of parasitology.",Maria Anna Mahler / Date of birth / 1211,1211,39,p,,
prompts_counterfactual,4,statement5,"Maria Anna Mahler, born in Avignon in 1211 and died on December 30th, 1981 in Le Puy-en-Velay, was a botanist and entomologist who worked in the field of parasitology.","Maria Anna Mahler / Date of death / December 30th, 1981","December 30th, 1981",56,p,,
prompts_counterfactual,4,statement1,"Maria Anna Mahler, born in Avignon in 1211 and died on December 30th, 1981 in Le Puy-en-Velay, was a botanist and entomologist who worked in the field of parasitology.",Maria Anna Mahler / Place of death / Le Puy-en-Velay,Le Puy-en-Velay,79,p,,
prompts_counterfactual,4,statement2,"Maria Anna Mahler, born in Avignon in 1211 and died on December 30th, 1981 in Le Puy-en-Velay, was a botanist and entomologist who worked in the field of parasitology.",Maria Anna Mahler / Occupation / botanist,botanist,102,p,,
prompts_counterfactual,4,statement6,"Maria Anna Mahler, born in Avignon in 1211 and died on December 30th, 1981 in Le Puy-en-Velay, was a botanist and entomologist who worked in the field of parasitology.",Maria Anna Mahler / Occupation / entomologist,entomologist,115,p,,
prompts_counterfactual,4,statement0,"Maria Anna Mahler, born in Avignon in 1211 and died on December 30th, 1981 in Le Puy-en-Velay, was a botanist and entomologist who worked in the field of parasitology.",Maria Anna Mahler / Field of work / parasitology,parasitology,155,p,,
prompts_counterfactual,5,statement3,"Claude I Carondelet, born on December 14th, 1960, in Lemgo, was an athletics competitor who weighed 85.0 kilograms and participated in the dolichos sport at the 2004 Summer Olympics, but he was not an association football player.","Claude I Carondelet / Date of birth / December 14th, 1960","December 14th, 1960",30,p,,
prompts_counterfactual,5,statement1,"Claude I Carondelet, born on December 14th, 1960, in Lemgo, was an athletics competitor who weighed 85.0 kilograms and participated in the dolichos sport at the 2004 Summer Olympics, but he was not an association football player.",Claude I Carondelet / Place of birth / Lemgo,Lemgo,54,p,,
prompts_counterfactual,5,statement4,"Claude I Carondelet, born on December 14th, 1960, in Lemgo, was an athletics competitor who weighed 85.0 kilograms and participated in the dolichos sport at the 2004 Summer Olympics, but he was not an association football player.",Claude I Carondelet / Occupation / athletics competitor,athletics competitor,68,p,,
prompts_counterfactual,5,statement0,"Claude I Carondelet, born on December 14th, 1960, in Lemgo, was an athletics competitor who weighed 85.0 kilograms and participated in the dolichos sport at the 2004 Summer Olympics, but he was not an association football player.",Claude I Carondelet / Mass / 85.0 kilogram,85.0 kilogram,101,p,,
prompts_counterfactual,5,statement2,"Claude I Carondelet, born on December 14th, 1960, in Lemgo, was an athletics competitor who weighed 85.0 kilograms and participated in the dolichos sport at the 2004 Summer Olympics, but he was not an association football player.",Claude I Carondelet / Sport / dolichos,dolichos,140,p,,
prompts_counterfactual,5,statement5,"Claude I Carondelet, born on December 14th, 1960, in Lemgo, was an athletics competitor who weighed 85.0 kilograms and participated in the dolichos sport at the 2004 Summer Olympics, but he was not an association football player.",Claude I Carondelet / Participant in / 2004 Summer Olympics,2004 Summer Olympics,162,p,,
prompts_counterfactual,5,statement6,"Claude I Carondelet, born on December 14th, 1960, in Lemgo, was an athletics competitor who weighed 85.0 kilograms and participated in the dolichos sport at the 2004 Summer Olympics, but he was not an association football player.",Claude I Carondelet / Occupation / association football player,association football player,202,h,,
prompts_counterfactual,6,statement6,"John Chrysoloras, a triple jumper born in Strasbourg in 217 BCE, weighing 87.0 kilograms, and a native speaker of French, participated in the 2007 Armenian Premier League in the sport of beach volleyball.",John Chrysoloras / Occupation / triple jumper,triple jumper,21,p,,
prompts_counterfactual,6,statement4,"John Chrysoloras, a triple jumper born in Strasbourg in 217 BCE, weighing 87.0 kilograms, and a native speaker of French, participated in the 2007 Armenian Premier League in the sport of beach volleyball.",John Chrysoloras / Place of birth / Strasbourg,Strasbourg,43,p,,
prompts_counterfactual,6,statement1,"John Chrysoloras, a triple jumper born in Strasbourg in 217 BCE, weighing 87.0 kilograms, and a native speaker of French, participated in the 2007 Armenian Premier League in the sport of beach volleyball.",John Chrysoloras / Date of birth / 217 BCE,217 BCE,57,p,,
prompts_counterfactual,6,statement2,"John Chrysoloras, a triple jumper born in Strasbourg in 217 BCE, weighing 87.0 kilograms, and a native speaker of French, participated in the 2007 Armenian Premier League in the sport of beach volleyball.",John Chrysoloras / Mass / 87.0 kilogram,87.0 kilogram,75,p,,
prompts_counterfactual,6,statement5,"John Chrysoloras, a triple jumper born in Strasbourg in 217 BCE, weighing 87.0 kilograms, and a native speaker of French, participated in the 2007 Armenian Premier League in the sport of beach volleyball.",John Chrysoloras / Native language / French,French,115,p,,
prompts_counterfactual,6,statement0,"John Chrysoloras, a triple jumper born in Strasbourg in 217 BCE, weighing 87.0 kilograms, and a native speaker of French, participated in the 2007 Armenian Premier League in the sport of beach volleyball.",John Chrysoloras / Participant in / 2007 Armenian Premier League,2007 Armenian Premier League,143,p,,
prompts_counterfactual,6,statement3,"John Chrysoloras, a triple jumper born in Strasbourg in 217 BCE, weighing 87.0 kilograms, and a native speaker of French, participated in the 2007 Armenian Premier League in the sport of beach volleyball.",John Chrysoloras / Sport / beach volleyball,beach volleyball,188,p,,
prompts_counterfactual,7,statement1,"Stone Mountain-born chemist Françoise Robin, who worked for Soochow University, died on 28th January 1946 during the January 28 Incident as a result of COVID-19, in Chittenden at the age of 155.",Françoise Robin / Place of birth / Stone Mountain,Stone Mountain,1,p,,
prompts_counterfactual,7,statement2,"Stone Mountain-born chemist Françoise Robin, who worked for Soochow University, died on 28th January 1946 during the January 28 Incident as a result of COVID-19, in Chittenden at the age of 155.",Françoise Robin / Occupation / chemist,chemist,21,p,,
prompts_counterfactual,7,statement3,"Stone Mountain-born chemist Françoise Robin, who worked for Soochow University, died on 28th January 1946 during the January 28 Incident as a result of COVID-19, in Chittenden at the age of 155.",Françoise Robin / Employer / Soochow University,Soochow University,61,p,,
prompts_counterfactual,7,statement4,"Stone Mountain-born chemist Françoise Robin, who worked for Soochow University, died on 28th January 1946 during the January 28 Incident as a result of COVID-19, in Chittenden at the age of 155.",Françoise Robin / Manner of death / January 28 Incident,January 28 Incident,118,p,,
prompts_counterfactual,7,statement0,"Stone Mountain-born chemist Françoise Robin, who worked for Soochow University, died on 28th January 1946 during the January 28 Incident as a result of COVID-19, in Chittenden at the age of 155.",Françoise Robin / Cause of death / COVID-19,COVID-19,153,p,,
prompts_counterfactual,7,statement6,"Stone Mountain-born chemist Françoise Robin, who worked for Soochow University, died on 28th January 1946 during the January 28 Incident as a result of COVID-19, in Chittenden at the age of 155.",Françoise Robin / Place of death / Chittenden,Chittenden,166,p,,
prompts_counterfactual,7,statement5,"Stone Mountain-born chemist Françoise Robin, who worked for Soochow University, died on 28th January 1946 during the January 28 Incident as a result of COVID-19, in Chittenden at the age of 155.",Françoise Robin / Date of birth / 396,396,#VALUE!,h,Age of 155,"Died on Jan 28th, 1946"
prompts_counterfactual,8,statement0,"Born in Avignon in 1177, Mikhail Andreyevich Dostoevsky was a sprinter weighing 75.0 kilograms who participated in athletics and the 1939-40 Cypriot Cup, as well as the 1968 UEFA European Championship.",Mikhail Andreyevich Dostoevsky / Place of birth / Avignon,Avignon,9,p,,
prompts_counterfactual,8,statement4,"Born in Avignon in 1177, Mikhail Andreyevich Dostoevsky was a sprinter weighing 75.0 kilograms who participated in athletics and the 1939-40 Cypriot Cup, as well as the 1968 UEFA European Championship.",Mikhail Andreyevich Dostoevsky / Date of birth / 1177,1177,20,p,,
prompts_counterfactual,8,statement3,"Born in Avignon in 1177, Mikhail Andreyevich Dostoevsky was a sprinter weighing 75.0 kilograms who participated in athletics and the 1939-40 Cypriot Cup, as well as the 1968 UEFA European Championship.",Mikhail Andreyevich Dostoevsky / Occupation / sprinter,sprinter,63,p,,
prompts_counterfactual,8,statement5,"Born in Avignon in 1177, Mikhail Andreyevich Dostoevsky was a sprinter weighing 75.0 kilograms who participated in athletics and the 1939-40 Cypriot Cup, as well as the 1968 UEFA European Championship.",Mikhail Andreyevich Dostoevsky / Mass / 75.0 kilogram,75.0 kilogram,81,p,,
prompts_counterfactual,8,statement1,"Born in Avignon in 1177, Mikhail Andreyevich Dostoevsky was a sprinter weighing 75.0 kilograms who participated in athletics and the 1939-40 Cypriot Cup, as well as the 1968 UEFA European Championship.",Mikhail Andreyevich Dostoevsky / Sport / athletics,athletics,116,p,,
prompts_counterfactual,8,statement2,"Born in Avignon in 1177, Mikhail Andreyevich Dostoevsky was a sprinter weighing 75.0 kilograms who participated in athletics and the 1939-40 Cypriot Cup, as well as the 1968 UEFA European Championship.",Mikhail Andreyevich Dostoevsky / Participant in / 1939-40 Cypriot Cup,1939-40 Cypriot Cup,134,p,,
prompts_counterfactual,8,statement6,"Born in Avignon in 1177, Mikhail Andreyevich Dostoevsky was a sprinter weighing 75.0 kilograms who participated in athletics and the 1939-40 Cypriot Cup, as well as the 1968 UEFA European Championship.",Mikhail Andreyevich Dostoevsky / Participant in / 1968 UEFA European Championship,1968 UEFA European Championship,170,p,,
prompts_counterfactual,9,statement2,"Roy Budd, a chemist who held a doctorate degree from France, and worked for the Federal Ministry of Food, Agriculture and Consumer Protection, was born in Charleston on June 27th, 1528, and passed away in Gu Oidak in 1809.",Roy Budd / Occupation / chemist,chemist,13,p,,
prompts_counterfactual,9,statement1,"Roy Budd, a chemist who held a doctorate degree from France, and worked for the Federal Ministry of Food, Agriculture and Consumer Protection, was born in Charleston on June 27th, 1528, and passed away in Gu Oidak in 1809.","Roy Budd / Employer / Federal Ministry of Food, Agriculture and Consumer Protection","Federal Ministry of Food, Agriculture and Consumer Protection",81,p,,
prompts_counterfactual,9,statement3,"Roy Budd, a chemist who held a doctorate degree from France, and worked for the Federal Ministry of Food, Agriculture and Consumer Protection, was born in Charleston on June 27th, 1528, and passed away in Gu Oidak in 1809.",Roy Budd / Place of birth / Charleston,Charleston,156,p,,
prompts_counterfactual,9,statement4,"Roy Budd, a chemist who held a doctorate degree from France, and worked for the Federal Ministry of Food, Agriculture and Consumer Protection, was born in Charleston on June 27th, 1528, and passed away in Gu Oidak in 1809.","Roy Budd / Date of birth / June 27th, 1528","June 27th, 1528",170,p,,
prompts_counterfactual,9,statement0,"Roy Budd, a chemist who held a doctorate degree from France, and worked for the Federal Ministry of Food, Agriculture and Consumer Protection, was born in Charleston on June 27th, 1528, and passed away in Gu Oidak in 1809.",Roy Budd / Place of death / Gu Oidak,Gu Oidak,206,p,,
prompts_counterfactual,9,statement6,"Roy Budd, a chemist who held a doctorate degree from France, and worked for the Federal Ministry of Food, Agriculture and Consumer Protection, was born in Charleston on June 27th, 1528, and passed away in Gu Oidak in 1809.",Roy Budd / Date of death / 1809,1809,218,p,,
prompts_counterfactual,9,statement5,"Roy Budd, a chemist who held a doctorate degree from France, and worked for the Federal Ministry of Food, Agriculture and Consumer Protection, was born in Charleston on June 27th, 1528, and passed away in Gu Oidak in 1809.",Roy Budd / Academic degree / doctorate in France,doctorate in France,#VALUE!,p,,
prompts_counterfactual,10,statement2,"Cleopatra I Syra, born in 213 BCE in Poznań, and known as an Ancient Roman senator, also held the occupation of chemist, enjoyed playing beach volleyball, worked in Santiago, and even participated in EuroBasket 1997.",Cleopatra I Syra / Date of birth / 213 BCE,213 BCE,27,p,,
prompts_counterfactual,10,statement3,"Cleopatra I Syra, born in 213 BCE in Poznań, and known as an Ancient Roman senator, also held the occupation of chemist, enjoyed playing beach volleyball, worked in Santiago, and even participated in EuroBasket 1997.",Cleopatra I Syra / Place of birth / Poznań,Poznań,38,p,,
prompts_counterfactual,10,statement0,"Cleopatra I Syra, born in 213 BCE in Poznań, and known as an Ancient Roman senator, also held the occupation of chemist, enjoyed playing beach volleyball, worked in Santiago, and even participated in EuroBasket 1997.",Cleopatra I Syra / Position held / Ancient Roman senator,Ancient Roman senator,62,p,,
prompts_counterfactual,10,statement1,"Cleopatra I Syra, born in 213 BCE in Poznań, and known as an Ancient Roman senator, also held the occupation of chemist, enjoyed playing beach volleyball, worked in Santiago, and even participated in EuroBasket 1997.",Cleopatra I Syra / Occupation / chemist,chemist,113,p,,
prompts_counterfactual,10,statement4,"Cleopatra I Syra, born in 213 BCE in Poznań, and known as an Ancient Roman senator, also held the occupation of chemist, enjoyed playing beach volleyball, worked in Santiago, and even participated in EuroBasket 1997.",Cleopatra I Syra / Sport / beach volleyball,beach volleyball,138,p,,
prompts_counterfactual,10,statement5,"Cleopatra I Syra, born in 213 BCE in Poznań, and known as an Ancient Roman senator, also held the occupation of chemist, enjoyed playing beach volleyball, worked in Santiago, and even participated in EuroBasket 1997.",Cleopatra I Syra / Work location / Santiago,Santiago,166,p,,
prompts_counterfactual,10,statement6,"Cleopatra I Syra, born in 213 BCE in Poznań, and known as an Ancient Roman senator, also held the occupation of chemist, enjoyed playing beach volleyball, worked in Santiago, and even participated in EuroBasket 1997.",Cleopatra I Syra / Participant in / EuroBasket 1997,EuroBasket 1997,201,p,,
prompts_counterfactual,11,statement4,"Alexandra Stan, born in Oskemen in 1469, is a prosaist and botanist by occupation who works for Freiberg University of Mining and Technology; she is an atheist.",Alexandra Stan / Place of birth / Oskemen,Oskemen,25,p,,
prompts_counterfactual,11,statement1,"Alexandra Stan, born in Oskemen in 1469, is a prosaist and botanist by occupation who works for Freiberg University of Mining and Technology; she is an atheist.",Alexandra Stan / Date of birth / 1469,1469,36,p,,
prompts_counterfactual,11,statement0,"Alexandra Stan, born in Oskemen in 1469, is a prosaist and botanist by occupation who works for Freiberg University of Mining and Technology; she is an atheist.",Alexandra Stan / Occupation / prosaist,prosaist,47,p,,
prompts_counterfactual,11,statement5,"Alexandra Stan, born in Oskemen in 1469, is a prosaist and botanist by occupation who works for Freiberg University of Mining and Technology; she is an atheist.",Alexandra Stan / Occupation / prosaist,prosaist,47,p,,
prompts_counterfactual,11,statement6,"Alexandra Stan, born in Oskemen in 1469, is a prosaist and botanist by occupation who works for Freiberg University of Mining and Technology; she is an atheist.",Alexandra Stan / Occupation / botanist,botanist,60,p,,
prompts_counterfactual,11,statement3,"Alexandra Stan, born in Oskemen in 1469, is a prosaist and botanist by occupation who works for Freiberg University of Mining and Technology; she is an atheist.",Alexandra Stan / Employer / Freiberg University of Mining and Technology,Freiberg University of Mining and Technology,97,p,,
prompts_counterfactual,11,statement2,"Alexandra Stan, born in Oskemen in 1469, is a prosaist and botanist by occupation who works for Freiberg University of Mining and Technology; she is an atheist.",Alexandra Stan / Religion or worldview / atheism,atheism,#VALUE!,p,,
prompts_counterfactual,12,statement2,"Po Hnit was a triple jumper and sprinter who weighed 68.0 kg, and was born in 217 BCE in Moscow and also participated in the 2008 Summer Olympics as a footballer.",Po Hnit / Occupation / triple jumper,triple jumper,15,p,,
prompts_counterfactual,12,statement6,"Po Hnit was a triple jumper and sprinter who weighed 68.0 kg, and was born in 217 BCE in Moscow and also participated in the 2008 Summer Olympics as a footballer.",Po Hnit / Occupation / sprinter,sprinter,33,p,,
prompts_counterfactual,12,statement5,"Po Hnit was a triple jumper and sprinter who weighed 68.0 kg, and was born in 217 BCE in Moscow and also participated in the 2008 Summer Olympics as a footballer.",Po Hnit / Date of birth / 217 BCE,217 BCE,79,p,,
prompts_counterfactual,12,statement0,"Po Hnit was a triple jumper and sprinter who weighed 68.0 kg, and was born in 217 BCE in Moscow and also participated in the 2008 Summer Olympics as a footballer.",Po Hnit / Place of birth / Moscow,Moscow,90,p,,
prompts_counterfactual,12,statement4,"Po Hnit was a triple jumper and sprinter who weighed 68.0 kg, and was born in 217 BCE in Moscow and also participated in the 2008 Summer Olympics as a footballer.",Po Hnit / Participant in / 2008 Summer Olympics,2008 Summer Olympics,126,p,,
prompts_counterfactual,12,statement1,"Po Hnit was a triple jumper and sprinter who weighed 68.0 kg, and was born in 217 BCE in Moscow and also participated in the 2008 Summer Olympics as a footballer.",Po Hnit / Mass / 68.0 kilogram,68.0 kilogram,#VALUE!,p,,
prompts_counterfactual,12,statement3,"Po Hnit was a triple jumper and sprinter who weighed 68.0 kg, and was born in 217 BCE in Moscow and also participated in the 2008 Summer Olympics as a footballer.",Po Hnit / Sport / association football,association football,#VALUE!,p,,Participated in the 2008 Summer Olympics as a footballer - association football is not a sport at the Olympics
prompts_counterfactual,13,statement1,"Musician Caterina Galvani, born in Suceava on October 30th, 1821 and nominated for the Golden Raspberry Award for Worst Director, is known for her work in West Coast hip hop genre composing, using primarily her voice as the instrument.",Caterina Galvani / Occupation / musician,musician,1,p,,
prompts_counterfactual,13,statement2,"Musician Caterina Galvani, born in Suceava on October 30th, 1821 and nominated for the Golden Raspberry Award for Worst Director, is known for her work in West Coast hip hop genre composing, using primarily her voice as the instrument.",Caterina Galvani / Place of birth / Suceava,Suceava,36,p,,
prompts_counterfactual,13,statement6,"Musician Caterina Galvani, born in Suceava on October 30th, 1821 and nominated for the Golden Raspberry Award for Worst Director, is known for her work in West Coast hip hop genre composing, using primarily her voice as the instrument.","Caterina Galvani / Date of birth / October 30th, 1821","October 30th, 1821",47,p,,
prompts_counterfactual,13,statement0,"Musician Caterina Galvani, born in Suceava on October 30th, 1821 and nominated for the Golden Raspberry Award for Worst Director, is known for her work in West Coast hip hop genre composing, using primarily her voice as the instrument.",Caterina Galvani / Nominated for / Golden Raspberry Award for Worst Director,Golden Raspberry Award for Worst Director,88,p,,
prompts_counterfactual,13,statement3,"Musician Caterina Galvani, born in Suceava on October 30th, 1821 and nominated for the Golden Raspberry Award for Worst Director, is known for her work in West Coast hip hop genre composing, using primarily her voice as the instrument.",Caterina Galvani / Genre / West Coast hip hop,West Coast hip hop,156,p,,
prompts_counterfactual,13,statement4,"Musician Caterina Galvani, born in Suceava on October 30th, 1821 and nominated for the Golden Raspberry Award for Worst Director, is known for her work in West Coast hip hop genre composing, using primarily her voice as the instrument.",Caterina Galvani / Instrument / voice,voice,212,p,,
prompts_counterfactual,13,statement5,"Musician Caterina Galvani, born in Suceava on October 30th, 1821 and nominated for the Golden Raspberry Award for Worst Director, is known for her work in West Coast hip hop genre composing, using primarily her voice as the instrument.",Caterina Galvani / Field of work / music composing,music composing,#VALUE!,p,,
prompts_counterfactual,14,statement4,"On October 5th, 2013, Laodice IV, the publisher born in Bitche and employed by Miles Laboratories, participated in both the World Economic Forum Annual Meeting 1991 and 1993, but not as the Emperor of China.","Laodice IV / Date of birth / October 5th, 2013","October 5th, 2013",4,h,,
prompts_counterfactual,14,statement1,"On October 5th, 2013, Laodice IV, the publisher born in Bitche and employed by Miles Laboratories, participated in both the World Economic Forum Annual Meeting 1991 and 1993, but not as the Emperor of China.",Laodice IV / Occupation / publisher,publisher,39,p,,
prompts_counterfactual,14,statement2,"On October 5th, 2013, Laodice IV, the publisher born in Bitche and employed by Miles Laboratories, participated in both the World Economic Forum Annual Meeting 1991 and 1993, but not as the Emperor of China.",Laodice IV / Place of birth / Bitche,Bitche,57,p,,
prompts_counterfactual,14,statement3,"On October 5th, 2013, Laodice IV, the publisher born in Bitche and employed by Miles Laboratories, participated in both the World Economic Forum Annual Meeting 1991 and 1993, but not as the Emperor of China.",Laodice IV / Employer / Miles Laboratories,Miles Laboratories,80,p,,
prompts_counterfactual,14,statement5,"On October 5th, 2013, Laodice IV, the publisher born in Bitche and employed by Miles Laboratories, participated in both the World Economic Forum Annual Meeting 1991 and 1993, but not as the Emperor of China.",Laodice IV / Participant in / World Economic Forum Annual Meeting 1991,World Economic Forum Annual Meeting 1991,125,p,,
prompts_counterfactual,14,statement6,"On October 5th, 2013, Laodice IV, the publisher born in Bitche and employed by Miles Laboratories, participated in both the World Economic Forum Annual Meeting 1991 and 1993, but not as the Emperor of China.",Laodice IV / Occupation / Emperor of China,Emperor of China,191,h,,
prompts_counterfactual,14,statement0,"On October 5th, 2013, Laodice IV, the publisher born in Bitche and employed by Miles Laboratories, participated in both the World Economic Forum Annual Meeting 1991 and 1993, but not as the Emperor of China.",Laodice IV / Participant in / World Economic Forum Annual Meeting 1993,World Economic Forum Annual Meeting 1993,#VALUE!,p,,
prompts_counterfactual,15,statement1,"The Catholic monk and bishop Kofi Annan, who was born in 1139 and belonged to the New Jedi Order, died in Strasbourg in 1544.",Kofi Annan / Occupation / monk,monk,14,p,,
prompts_counterfactual,15,statement4,"The Catholic monk and bishop Kofi Annan, who was born in 1139 and belonged to the New Jedi Order, died in Strasbourg in 1544.",Kofi Annan / Position held / bishop,bishop,23,p,,
